Females,,,,,,,Percentile,,,,,
Age(years),Case No.,Mean,Median,SD,Minimum,Maximum,5%,10%,25%,75%,90%,95%
0 15,5970,154.98,155,6.65,130,176.6,144,146.49,150.93,159.6,163,165.3
16 19,160,158.19,158,5.59,142,174,150,151,155,162,165.03,167.04
20 24,435,159.41,159,5.45,146,175,151,153,155.55,163,166.56,169.15
25 29,402,159.42,159,5.44,143,176.6,150.53,153,156,163,166,168
30 34,438,158.88,159,5.87,142,176.4,149.83,151,155,163,166,168.03
35 39,394,159.04,158.9,5.21,144.1,174.1,150.83,153,155.5,162.3,166,168.14
40 44,382,158.02,158,5.21,145.5,175.5,149.71,151,154.75,162,164.48,166
45 49,374,157.51,157.7,4.84,141.4,174,150,151.8,154,160.5,164,165.24
50 54,448,155.93,156,5.21,141,174,146.42,149.14,153,159.5,162,164
55 59,638,154.54,155,5.02,136.8,167,146,148,151.03,158,160.5,162.5
60 64,645,153.52,153.3,5.09,137,174,145,147,150,157,160,162
65 69,613,151.42,151.6,5.12,134,166.9,143.18,145,148,154.9,157.66,160
70 74,425,150.4,150.5,5.35,131.8,169,140.6,144.32,147.5,154,156.5,158
75 79,332,148.44,148,5.84,131.8,165,139.4,140.55,144.6,152.5,156,158
80 84,172,146.87,147.5,6.64,130,163,133.8,138.04,143.45,150.7,155,157
85 89,70,145.02,145.5,6.2,130,163,136.4,137.95,140.33,149,152.03,154.28
90 100,42,144.88,144,7.4,130.1,160,134.53,135.1,140,150,153.9,156.71
