Males,,,,,,,Percentile,,,,,
Age (years),Case No.,Mean,Median,SD,Minimum,Maximum,5%,10%,25%,75%,90%,95%
0 15,4365,169.32,170,6.89,133,191,158,160,165,174,178,180
16 19,381,171.99,172,5.94,143,187.5,163,165,168,176,179.8,182
20 24,440,172.51,172,5.89,157,190.1,163,165,168.7,177,180.23,182
25 29,360,171.72,172,6.15,154,191,162,164.99,168,175,179.02,181
30 34,411,169.87,172,5.76,155,190,162.95,165,168,175,180,181.35
35 39,412,171.62,172,6.07,154,188.1,161.06,164,168,175.13,179.99,181.67
40 44,328,171.34,171,5.48,158,190,162,164,168,175,178.65,180
45 49,321,170.52,171,5.81,150,187,160,162,167.3,174.4,177,180
50 54,257,169.93,170,5.56,156,184,160,163,166,174,177,179
55 59,311,168.02,168.4,5.75,150,181,157.45,160.2,164.2,172,175,177
60 64,332,166.39,167,5.25,153.3,180.8,157.87,159,163,170,173,175
65 69,304,165.37,165.5,6.07,149.6,183,155,158.09,161,169,173,174.94
70 74,216,164.21,164,5.87,147.5,180,154.8,156,160.65,168.28,171.65,174
75 79,154,161.23,161.4,5.93,145,176,150.26,154.5,157.63,165.38,168.5,170.18
80 84,88,158.81,158,7.51,135,180,148,150.21,153.7,164,168,170
85 89,35,157.92,157,7.54,137,173,146.45,149.6,154,163.75,165,169.6
90 100,15,157.07,160,11.02,133,177,139.02,142.36,155,162,167.6,172.1
