Cluster ID,Issue,Country
1,i would say that the car is not very comfortable,USA
1,improvement: make the car more durable,USA
1,improvement: make the car more comfortable,USA
1,improvement: make the car more comfortable,USA
1,improvement: make the car more comfortable,USA
1,improvement: make the car more comfortable,USA
1,make the car more comfortable,USA
1,i would say that the car is not very comfortable.,USA
1,improvement: make the car more comfortable,USA
1,i would say that the car is not very comfortable,USA
1,improvement: make the car more comfortable,USA
1,improvement: make the car more comfortable,USA
1,improvement: make it easier to find out about the car,USA
1,improvement: make the car more comfortable,USA
2,fix the audio problem,USA
2,fix the update problem,USA
2,fix the problem in one visit,USA
3,ensure that all consumables and parts are included in the delivery of the vehicle,USA
3,improve the ride height,USA
3,improve the overall feeling by providing a better car,USA
3,fix the leak,USA
3,make the staff more knowledgeable,USA
3,i would say that the customer service is great,USA
3,none,USA
3,none,USA
3,home valet service,USA
3,service is improving,USA
3,love the style and experience,USA
3,i would say that the car is not as comfortable as the previous cars,USA
3,the location promises great service but delivers average. same could be said with my defender that i built one way but was delivered another. i would say,USA
3,improvement: make it more luxurious,USA
3,i would say that the car is a little too expensive for what you get.,USA
3,i would say that the discovery is a great car but it is not as comfortable as the defender.,USA
3,improvement: make it a defender,USA
3,improvement: improve customer service,USA
3,improve the comfort,USA
3,land rover charlotte should be helping me at all,USA
3,it is a little early to be able to recommend i would say,USA
3,i would say make it so that people don't cut you off,USA
3,"wiring harness bad ,cant get one .has been sitting at dealer.",USA
3,fit & finish not quite there. doors show weld spots - really couldn't finish that off. there is a lot of space under the rear seat that could be used for storage,USA
3,i would say that the team that has supported me has been fantastic,USA
3,fix the lock issue,USA
3,make the dealership better,USA
3,dealer support,USA
3,xm should not call me daily asking me to purchase a subscription.,USA
3,fix the ac problems,USA
3,improvement: dealership should be more honest,USA
3,nice features,USA
3,improvement: make it more luxurious,USA
3,the windshield should be replaced in less than two weeks.,USA
3,fix the rattling and squeaking,USA
3,none,USA
3,service dept at dealership is terrible.,USA
3,improve the dealerships,USA
3,improve the technology,USA
3,make it cheaper,USA
3,make accessories available,USA
3,i would say that the cars are not good for the environment,USA
3,fix crackling in windshield when i drive 70 miles per hour,USA
3,fix the infotainment issues,USA
3,improve reliability,USA
3,fix the driver seat,USA
3,none,USA
3,fix the software update issue,USA
3,i would say that the car is quite good,USA
3,improvement: make the dealerships in florida better,USA
3,improvement: make it more attractive,USA
3,fix the electrical issues,USA
3,improvement: make it easier to service,USA
3,none,USA
3,jlr should make the car more durable,USA
3,make it more luxurious,USA
3,fix the computer related glitches,USA
3,make it cheaper to own,USA
3,none,USA
