Cluster ID,Issue,Country
1,i would say that the car is very good but it is not very comfortable,China
1,make sure the air filter system stays on,China
1,improvement: make sure the car is in good condition,China
1,make sure the door opens when you press the button,China
1,"i believe the landrover brand is phenomenal. however, i have had many issues with my evoke and do not feel i would recommend this car to an individual. i am sure other cars my be better i would say",China
1,make sure the plate is delivered on time,China
1,make sure the maintenance is good,China
1,i would say that the car is very good,China
1,improvement: make sure the car is reliable,China
1,make sure the maintainance experience is good,China
1,improvement: make sure the car is exactly what he wants,China
1,improvement: make sure you get a loaner car,China
1,improvement: make sure the dealer is good,China
1,make sure the dealer network is good,China
1,make sure the car play is working properly,China
1,velar is not as good as rrs,China
1,make sure they return calls,China
1,make it more stylish,China
1,make it more stylish,China
1,make it more stylish,China
1,make it more stylish,China
1,improvement: make it more stylish,China
1,improvement: make it more stylish,China
2,i would say that the service is satisfactory.,China
2,provide service after sale,China
2,improve the overall service quality and vehicle satisfaction,China
2,service communication is two way,China
2,i would say that the staff was friendly and the service was fast.,China
2,service department should be more efficient,China
2,improve the service experience,China
2,"apple carplay should work 100% of the time, brakes should not squeal and screech, customer service should be better",China
2,improve customer service,China
2,make it easier to arrange for service,China
2,improve customer service,China
2,"improve gas mileage, glitches, service",China
2,improve after sales service,China
2,improve customer service,China
2,improve the service and overall brand experience as a consumer,China
2,improvement: customer service and service is the worst. my first range rover’s hoses blew which was supposed to be fixed 3 times but wasn’t and the engine had to be replaced after 1 year because of this. i’m still waiting for my trip reimbursement money and it’s been 3 months. i’ve spoken to at least 6 different reps with no results. when my range rover broke down in florida the florida dealership found that the engine cover was missing and the dealer and service dept till this day can not tell me what happen to it. customer service did absolutely nothing for me with this situation. we have been lied to and run around for months. i had to trade in my car with the dealer while,China
2,improve customer service,China
2,improve customer service,China
2,improve the service,China
2,"alina, our service advisor from bellevue land rover has been our service agent the past few years and she is 100% amazing. the service is top notch.",China
2,improve customer service,China
2,improve customer service,China
2,allow other dealerships to service your vehicle,China
2,i would say that the customer service is excellent,China
2,improve dealership service,China
2,improvement: improve customer service,China
2,improve customer service,China
2,service costs should be the same regardless of which dealership you go to.,China
2,service should be better,China
2,improve customer service,China
2,improve service from dealership,China
2,improve the service,China
2,lisa and jetemy in the service department are the best!!! amazing service i would say,China
2,the service advisor should be more friendly,China
2,i would say that the customer service is excellent,China
2,service departments should be better,China
2,service advisors should be more responsive,China
2,land rover should have better service,China
2,service at the dealership should be better,China
2,improvement: make the service better,China
2,customer service is key i would say,China
2,improvement: improve the service,China
2,service should be better,China
