Cluster ID,Issue,Country
1,fix the electronics setup,USA
1,fix the design defect,USA
1,improve the design,USA
1,fix the gearbox fault error,USA
1,cameras should turn off at higher speeds,USA
1,fix the washer jets,USA
1,alexa is also turning on without prompts,USA
1,separate the auto locking and auto unlocking functions,USA
1,usb port,USA
1,wipers would turn on when there was rain on the windshield but it will come on when there was no rain,USA
1,reduce the lurching,USA
1,fix the connection issue,USA
1,fix the connection lost issue,USA
1,radio sometimes not turn on when using self starter,USA
1,7 seater unable to carry passengers,USA
1,allow to access internet or any other app,USA
1,improve the nav system,USA
1,fix the bluetooth connection issue,USA
1,fix logic of system,USA
1,fix the problem with the settings screen,USA
1,fix the charging issue,USA
1,bluetooth static and quality issues people can’t hear me over bluetooth. 10 days first time in the shop and now it’s back still not fixed.,USA
1,"fix the screen going black, fix the speakers, fix the rear suspension noise",USA
1,fix the footswipe motion for the liftgate,USA
1,fix the back hatch,USA
1,the headrest should automatically fold into avoid this annoyance.,USA
1,fix the connection issue,USA
1,fix the o2 sensor and coolant leak,USA
1,improve the cargo capacity,USA
1,surfaces seem basic compared to previous models and appointments i would say,USA
1,dashboard layout needs revision or adjustability.,USA
1,fix the location,USA
1,fix the heater,USA
1,the park assist has never worked. i was told to drive my vehicle for 19 miles at 19 mph. really??,USA
1,please see comments for previous issue. thanks,USA
1,"charge is weak, location inconvenient.",USA
1,bring back dials for temp and the basic features,USA
1,fix the vehicle before we ever took it off the lot.,USA
1,fix the moonroof,USA
1,fix the ac fan settings to be the same when you exit the vehicle.,USA
1,firmer seats,USA
1,improve the system to understand commands,USA
1,make the heads up display turn by turn always displayed and very small making it hard to see,USA
1,fix the dent in a day,USA
1,no heat,USA
1,"no heat, no ev",USA
1,no heat at all,USA
1,no heat,USA
1,connection drops abruptly,USA
1,map is often wrong for destination as well as routing. can not rely on it,USA
1,android auto fails to connect (wireless) android auto abruptly disconnects (wireless),USA
1,improve the software system,USA
1,have accessible 12v for radar detector,USA
